section_id,line,up_station_name,up_station_code,down_station_name,down_station_code,section_order,via_coordinates,created_at,updated_at
1,1호선,연천,1919,전곡,1918,1,"[[38.10073, 127.07372], [38.02458, 127.0718]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
2,1호선,전곡,1918,청산,1917,2,"[[38.02458, 127.0718], [37.98172, 127.06912]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
3,1호선,청산,1917,소요산,1916,3,"[[37.98172, 127.06912], [37.9481, 127.061034]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
4,1호선,소요산,1916,동두천,1915,4,"[[37.9481, 127.061034], [37.927878, 127.05479]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
5,1호선,동두천,1915,보산,1914,5,"[[37.927878, 127.05479], [37.913702, 127.057277]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
6,1호선,보산,1914,동두천중앙,1913,6,"[[37.913702, 127.057277], [37.901885, 127.056482]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
7,1호선,동두천중앙,1913,지행,1912,7,"[[37.901885, 127.056482], [37.892334, 127.055716]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
8,1호선,지행,1912,덕정,1911,8,"[[37.892334, 127.055716], [37.843188, 127.061277]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
9,1호선,덕정,1911,덕계,1910,9,"[[37.843188, 127.061277], [37.818486, 127.056486]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
10,1호선,덕계,1910,양주,1909,10,"[[37.818486, 127.056486], [37.774381, 127.044708]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
11,1호선,양주,1909,녹양,1908,11,"[[37.774381, 127.044708], [37.75938, 127.042292]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
12,1호선,녹양,1908,가능,1907,12,"[[37.75938, 127.042292], [37.748577, 127.044213]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
13,1호선,가능,1907,의정부,1906,13,"[[37.748577, 127.044213], [37.738415, 127.045958]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
14,1호선,의정부,1906,회룡,1905,14,"[[37.738415, 127.045958], [37.724416, 127.04736]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
15,1호선,회룡,1905,망월사,1904,15,"[[37.724416, 127.04736], [37.709914, 127.047455]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
16,1호선,망월사,1904,도봉산,1903,16,"[[37.709914, 127.047455], [37.689534, 127.046049]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
17,1호선,도봉산,1903,도봉,1902,17,"[[37.689534, 127.046049], [37.679563, 127.045595]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
18,1호선,도봉,1902,방학,1901,18,"[[37.679563, 127.045595], [37.667503, 127.044273]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
19,1호선,방학,1901,창동,1022,19,"[[37.667503, 127.044273], [37.653007, 127.047806]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
20,1호선,창동,1022,녹천,1021,20,"[[37.653007, 127.047806], [37.644799, 127.051269]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
21,1호선,녹천,1021,월계,1020,21,"[[37.644799, 127.051269], [37.633212, 127.058831]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
22,1호선,월계,1020,광운대,1019,22,"[[37.633212, 127.058831], [37.623632, 127.061835]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
23,1호선,광운대,1019,석계,1018,23,"[[37.623632, 127.061835], [37.614532, 127.065934]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
24,1호선,석계,1018,신이문,1017,24,"[[37.614532, 127.065934], [37.601854, 127.067325]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
25,1호선,신이문,1017,외대앞,1016,25,"[[37.601854, 127.067325], [37.596073, 127.063549]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
26,1호선,외대앞,1016,회기,1015,26,"[[37.596073, 127.063549], [37.58946, 127.057583]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
